inputs	outputs	result
01010111111	{'001011000000': 108, '001010111111': 108, '001010111101': 93, '001010111110': 91}	PASS
00101000000	{'000101000011': 106, '000101000001': 114, '000101000010': 91, '000101000000': 89}	PASS
11111011010	{'011111011000': 106, '011111011010': 92, '011111011001': 108, '011111011011': 94}	PASS
10100100101	{'010100101000': 98, '010100100101': 98, '010100100111': 98, '010100100110': 106}	PASS
10010010100	{'010010010111': 98, '010010010100': 108, '010010010101': 89, '010010010110': 105}	PASS
00001101011	{'000001101001': 100, '000001101010': 113, '000001101100': 97, '000001101011': 90}	PASS
11011001101	{'011011001111': 106, '011011001101': 98, '011011001110': 97, '011011010000': 99}	PASS
01000110010	{'001000110000': 97, '001000110011': 82, '001000110010': 113, '001000110001': 108}	PASS
