inputs	outputs	result
11110100101	{'011110100110': 98, '011110101000': 93, '011110100111': 116, '011110100101': 93}	PASS
00001010100	{'000001010111': 98, '000001010110': 100, '000001010100': 96, '000001010101': 106}	PASS
01101111111	{'011101111111': 97, '011101111101': 111, '011101111110': 101, '011110000000': 91}	uof
00010101010	{'000010101001': 101, '000010101011': 98, '000010101010': 104, '000010101000': 97}	PASS
10111000111	{'010111001000': 111, '010111000110': 103, '010111000111': 96, '010111000101': 90}	PASS
11010011110	{'011010011110': 99, '011010011111': 94, '011010011100': 96, '011010011101': 111}	PASS
11101001000	{'011101001001': 97, '011101001011': 106, '011101001010': 94, '011101001000': 103}	PASS
01011110001	{'001011110011': 92, '001011110100': 104, '001011110001': 96, '001011110010': 108}	PASS
00010001101	{'000010001101': 114, '000010010000': 88, '000010001111': 108, '000010001110': 90}	PASS
00110010000	{'000110010011': 99, '000110010010': 114, '000110010000': 82, '000110010001': 105}	PASS
10001001011	{'010001001100': 102, '010001001010': 99, '010001001001': 106, '010001001011': 93}	PASS
10100110110	{'010100110100': 115, '010100110111': 94, '010100110101': 78, '010100110110': 113}	PASS
01000010011	{'001000010011': 97, '001000010010': 100, '001000010100': 108, '001000010001': 95}	PASS
01001100110	{'001001100110': 101, '001001100100': 104, '001001100111': 95, '001001100101': 100}	PASS
11111110010	{'011111110001': 97, '011111110010': 97, '011111110000': 103, '011111110011': 103}	PASS
10100111011	{'010100111010': 100, '010100111001': 100, '010100111100': 96, '010100111011': 104}	PASS
01100011001	{'001100011010': 99, '001100011100': 102, '001100011011': 94, '001100011001': 105}	PASS
10010100100	{'010010100111': 86, '010010100110': 103, '010010100101': 115, '010010100100': 96}	PASS
00111111100	{'000111111111': 111, '000111111100': 107, '000111111110': 76, '000111111101': 106}	PASS
11100000010	{'011100000000': 83, '011100000011': 106, '011100000001': 107, '011100000010': 104}	PASS
10100010101	{'010100010101': 100, '010100010110': 110, '010100010111': 101, '010100011000': 89}	PASS
00001101001	{'000001101011': 93, '000001101010': 103, '000001101100': 104, '000001101001': 100}	PASS
11000001111	{'011000010000': 110, '011000001110': 105, '011000001111': 83, '011000001101': 102}	PASS
00101100001	{'000101100001': 85, '000101100010': 110, '000101100100': 102, '000101100011': 103}	PASS
11011101000	{'011011101000': 90, '011011101001': 95, '011011101011': 115, '011011101010': 100}	PASS
00101001110	{'000101001110': 86, '000101001100': 100, '000101001111': 117, '000101001101': 97}	PASS
01000011100	{'001000011110': 101, '001000011100': 106, '001000011111': 101, '001000011101': 92}	PASS
11011011101	{'011011011101': 101, '011011011111': 99, '011011100000': 105, '011011011110': 95}	PASS
01011000011	{'001011000001': 110, '001011000100': 91, '001011000010': 98, '001011000011': 101}	PASS
01110101011	{'001110101100': 105, '001110101010': 95, '001110101011': 105, '001110101001': 95}	PASS
01000000000	{'001000000011': 96, '001000000010': 96, '001000000000': 109, '001000000001': 99}	PASS
00110110111	{'000110111000': 112, '000110110111': 107, '000110110110': 106, '000110110101': 75}	PASS
10001110010	{'010001110001': 94, '010001110010': 108, '010001110000': 98, '010001110011': 100}	PASS
10000110001	{'010000110100': 94, '010000110010': 105, '010000110001': 90, '010000110011': 111}	PASS
11001110100	{'011001110101': 83, '011001110111': 105, '011001110100': 107, '011001110110': 105}	PASS
10111011011	{'000111011011': 105, '000111011001': 105, '000111011010': 95, '000111011100': 95}	uof
11100101100	{'011100101110': 98, '011100101111': 100, '011100101100': 94, '011100101101': 108}	PASS
01000111111	{'001000111111': 90, '001001000000': 114, '001000111101': 103, '001000111110': 93}	PASS
10111001100	{'010111001111': 99, '010111001100': 98, '010111001110': 107, '010111001101': 96}	PASS
10011010111	{'010011011000': 111, '010011010111': 93, '010011010110': 90, '010011010101': 106}	PASS
11101101011	{'001101101011': 109, '001101101010': 89, '001101101100': 102, '001101101001': 100}	uof
00010011010	{'000010011001': 99, '000010011011': 99, '000010011010': 101, '000010011000': 101}	PASS
01110000100	{'001110000111': 111, '001110000110': 92, '001110000100': 100, '001110000101': 97}	PASS
00100100001	{'000100100001': 98, '000100100010': 90, '000100100100': 99, '000100100011': 113}	PASS
00001111010	{'000001111010': 98, '000001111011': 108, '000001111000': 101, '000001111001': 93}	PASS
10110110011	{'010110110001': 107, '010110110011': 110, '010110110010': 103, '010110110100': 80}	PASS
