inputs	outputs	result
11010101111	{'011010101111': 92, '011010101110': 103, '011010110000': 99, '011010101101': 106}	PASS
10101011000	{'010101011010': 94, '010101011000': 112, '010101011001': 94, '010101011011': 100}	PASS
00100110110	{'000100110101': 100, '000100110110': 91, '000100110100': 105, '000100110111': 104}	PASS
01111100001	{'001111100010': 117, '001111100100': 98, '001111100001': 79, '001111100011': 106}	PASS
00010000010	{'000010000000': 109, '000010000011': 110, '000010000010': 89, '000010000001': 92}	PASS
11001010101	{'011001010101': 108, '011001011000': 105, '011001010111': 91, '011001010110': 96}	PASS
01101001110	{'001101001101': 97, '001101001111': 97, '001101001110': 102, '001101001100': 104}	PASS
11110010011	{'011110010001': 99, '011110010010': 84, '011110010100': 101, '011110010011': 116}	PASS
10011101100	{'010011101101': 109, '010011101111': 99, '010011101100': 106, '010011101110': 86}	PASS
11000100000	{'011000100010': 109, '011000100011': 124, '011000100001': 95, '011000100000': 72}	wodf
00100000101	{'000100000101': 115, '000100000111': 95, '000100000110': 87, '000100001000': 103}	PASS
00001111011	{'000001111010': 98, '000001111001': 89, '000001111100': 90, '000001111011': 123}	PASS
10110001110	{'010110001100': 81, '010110001111': 102, '010110001101': 105, '010110001110': 112}	PASS
01010111001	{'001010111011': 89, '001010111001': 117, '001010111010': 101, '001010111100': 93}	PASS
11011110110	{'011011110100': 98, '011011110111': 107, '011011110110': 106, '011011110101': 89}	PASS
10100111111	{'010100111110': 105, '010100111111': 101, '010100111101': 98, '010101000000': 96}	PASS
00011001001	{'000011001100': 93, '000011001010': 89, '000011001011': 119, '000011001001': 99}	PASS
00011010100	{'000011010110': 80, '000011010111': 96, '000011010101': 116, '000011010100': 108}	PASS
10110110010	{'010110110011': 97, '010110110010': 108, '010110110000': 99, '010110110001': 96}	PASS
