inputs	outputs	result
111111	{'101000': 100, '100100': 96, '100000': 101, '011100': 103}	uof
000110	{'000011': 106, '001111': 100, '000111': 108, '001011': 86}	PASS
010001	{'010110': 105, '011110': 96, '011010': 93, '010010': 106}	PASS
101000	{'110001': 106, '101001': 94, '110101': 100, '101101': 100}	PASS
001011	{'010000': 98, '010100': 90, '011000': 90, '001100': 122}	PASS
001101	{'110110': 110, '101010': 99, '101110': 88, '110010': 103}	uof
010100	{'011101': 92, '011001': 98, '010001': 89, '010101': 121}	PASS
110010	{'110111': 97, '111011': 90, '111111': 104, '110011': 109}	PASS
011010	{'100111': 99, '011011': 92, '100011': 110, '011111': 99}	PASS
110101	{'111110': 89, '110010': 99, '111010': 109, '110110': 103}	PASS
100011	{'101000': 111, '100100': 93, '110000': 98, '101100': 98}	PASS
111100	{'111001': 111, '000001': 88, '111101': 114, '000101': 87}	PASS
100101	{'100110': 97, '101110': 103, '100010': 102, '101010': 98}	PASS
