inputs	outputs	result
101110	{'110011': 104, '101111': 94, '101011': 110, '110111': 92}	PASS
000000	{'001001': 88, '000001': 110, '000101': 95, '001101': 107}	PASS
111001	{'111110': 101, '111010': 97, '000110': 103, '000010': 99}	PASS
011100	{'100001': 104, '100101': 104, '011101': 92, '011001': 100}	PASS
011010	{'100011': 86, '011011': 93, '011111': 104, '100111': 117}	PASS
000111	{'001000': 96, '010000': 106, '001100': 102, '000100': 96}	PASS
010110	{'010111': 99, '010011': 104, '011111': 105, '011011': 92}	PASS
110100	{'110101': 97, '111001': 110, '110001': 83, '111101': 110}	PASS
111111	{'100100': 102, '100000': 110, '101000': 100, '011100': 88}	uof
001111	{'110100': 90, '110000': 99, '111000': 100, '101100': 111}	uof
100101	{'100110': 109, '101110': 91, '101010': 91, '100010': 109}	PASS
101100	{'110001': 94, '101001': 94, '110101': 103, '101101': 109}	PASS
001001	{'010110': 118, '001110': 94, '001010': 103, '010010': 85}	PASS
111010	{'000111': 94, '111011': 91, '000011': 109, '111111': 106}	PASS
010101	{'011010': 92, '010010': 110, '011110': 96, '010110': 102}	PASS
101101	{'010010': 88, '001010': 97, '001110': 122, '010110': 93}	uof
110010	{'111011': 103, '110011': 108, '111111': 93, '110111': 96}	PASS
100011	{'110000': 99, '100100': 114, '101000': 95, '101100': 92}	PASS
001010	{'010011': 112, '001111': 101, '010111': 91, '001011': 96}	PASS
111000	{'111001': 94, '000101': 105, '000001': 104, '111101': 97}	PASS
010011	{'011000': 110, '100000': 107, '010100': 90, '011100': 93}	PASS
100110	{'100011': 95, '101111': 98, '101011': 101, '100111': 106}	PASS
000100	{'001001': 111, '001101': 109, '000101': 90, '000001': 90}	PASS
101011	{'110100': 101, '110000': 110, '101100': 94, '111000': 95}	PASS
110001	{'111010': 95, '110110': 98, '111110': 104, '110010': 103}	PASS
100000	{'101001': 108, '100001': 112, '100101': 78, '101101': 102}	PASS
011001	{'011010': 92, '100110': 105, '011110': 94, '100010': 109}	PASS
