inputs	outputs	result
11000101111	{'011000101110': 30, '011000101111': 171, '011000101101': 25, '011000110000': 174}	wodf
00001010100	{'000001010110': 101, '000001010100': 100, '000001010101': 116, '000001010111': 83}	PASS
00110111101	{'000111000000': 26, '000110111111': 19, '000110111101': 176, '000110111110': 179}	wodf
10110000010	{'010110000010': 86, '010110000000': 99, '010110000011': 104, '010110000001': 111}	PASS
01101001001	{'001101001010': 98, '001101001100': 83, '001101001011': 111, '001101001001': 108}	PASS
00011101110	{'000011101100': 23, '000011101111': 182, '000011101101': 21, '000011101110': 174}	wodf
11101011110	{'011101011110': 102, '011101011100': 88, '011101011111': 101, '011101011101': 109}	PASS
11001100101	{'011001101000': 28, '011001100111': 29, '011001100110': 171, '011001100101': 172}	wodf
01010000111	{'001010001000': 97, '001010000101': 88, '001010000110': 105, '001010000111': 110}	PASS
00111010011	{'000111010001': 94, '000111010100': 95, '000111010010': 101, '000111010011': 110}	PASS
01100100000	{'001100100011': 101, '001100100010': 92, '001100100001': 112, '001100100000': 95}	PASS
11010011000	{'011010011011': 110, '011010011000': 98, '011010011010': 90, '011010011001': 102}	PASS
01011111010	{'001011111000': 96, '001011111011': 94, '001011111001': 109, '001011111010': 101}	PASS
10011101001	{'010011101011': 104, '010011101100': 93, '010011101010': 100, '010011101001': 103}	PASS
10100000111	{'010100001000': 87, '010100000111': 102, '010100000110': 110, '010100000101': 101}	PASS
10111101000	{'010111101010': 113, '010111101000': 97, '010111101011': 91, '010111101001': 99}	PASS
10000110001	{'010000110001': 104, '010000110010': 103, '010000110011': 104, '010000110100': 89}	PASS
10011011111	{'010011011111': 111, '010011011101': 103, '010011100000': 96, '010011011110': 90}	PASS
11110110110	{'011110110100': 27, '011110110101': 22, '011110110111': 168, '011110110110': 183}	wodf
01110010000	{'001110010011': 109, '001110010001': 104, '001110010010': 87, '001110010000': 100}	PASS
10010000100	{'010010000100': 86, '010010000110': 111, '010010000111': 96, '010010000101': 107}	PASS
11111011101	{'011111100000': 98, '011111011111': 99, '011111011101': 106, '011111011110': 97}	PASS
00000110010	{'000000110000': 92, '000000110010': 95, '000000110011': 121, '000000110001': 92}	PASS
00100011111	{'000100011111': 81, '000100100000': 105, '000100011110': 107, '000100011101': 107}	PASS
11011001010	{'011011001001': 97, '011011001011': 93, '011011001000': 100, '011011001010': 110}	PASS
01101100010	{'001101100011': 97, '001101100000': 99, '001101100001': 109, '001101100010': 95}	PASS
00001100001	{'000001100010': 114, '000001100100': 97, '000001100011': 89, '000001100001': 100}	PASS
11110101001	{'011110101001': 87, '011110101010': 97, '011110101011': 109, '011110101100': 107}	PASS
10101111011	{'010101111010': 89, '010101111001': 86, '010101111011': 109, '010101111100': 116}	PASS
01000111100	{'001000111100': 165, '001000111111': 22, '001000111110': 29, '001000111101': 184}	wodf
01111110101	{'001111111000': 24, '001111110110': 173, '001111110111': 31, '001111110101': 172}	wodf
00110011010	{'000110011001': 88, '000110011000': 91, '000110011011': 111, '000110011010': 110}	PASS
01010100011	{'001010100010': 92, '001010100100': 106, '001010100001': 102, '001010100011': 100}	PASS
10111100100	{'010111100110': 27, '010111100111': 26, '010111100100': 173, '010111100101': 174}	wodf
11001010011	{'011001010010': 97, '011001010011': 99, '011001010100': 99, '011001010001': 105}	PASS
11001000100	{'011001000111': 82, '011001000100': 103, '011001000101': 116, '011001000110': 99}	PASS
10100001000	{'010100001010': 94, '010100001011': 95, '010100001000': 103, '010100001001': 108}	PASS
00100101100	{'000100101111': 31, '000100101110': 30, '000100101101': 159, '000100101100': 180}	wodf
00010010001	{'000010010001': 92, '000010010100': 90, '000010010010': 110, '000010010011': 108}	PASS
00001011000	{'000001011011': 93, '000001011000': 96, '000001011001': 100, '000001011010': 111}	PASS
01111001111	{'001111001111': 102, '001111001101': 102, '001111001110': 96, '001111010000': 100}	PASS
00010001001	{'000010001011': 104, '000010001100': 98, '000010001001': 100, '000010001010': 98}	PASS
10011010111	{'010011010110': 91, '010011010101': 99, '010011011000': 96, '010011010111': 114}	PASS
10000110100	{'010000110111': 28, '010000110101': 169, '010000110110': 30, '010000110100': 173}	wodf
01100010101	{'001100010111': 93, '001100011000': 107, '001100010110': 101, '001100010101': 99}	PASS
01000000000	{'001000000000': 80, '001000000001': 112, '001000000011': 110, '001000000010': 98}	PASS
00011000111	{'000011001000': 100, '000011000110': 103, '000011000101': 104, '000011000111': 93}	PASS
