inputs	outputs	result
10110101010	{'010110101011': 106, '010110101000': 100, '010110101010': 103, '010110101001': 91}	PASS
01001110101	{'001001111000': 26, '001001110111': 19, '001001110101': 175, '001001110110': 180}	wodf
11101001111	{'011101001111': 91, '011101001101': 97, '011101010000': 101, '011101001110': 111}	PASS
00010010001	{'000010010001': 94, '000010010011': 100, '000010010100': 82, '000010010010': 124}	PASS
01111000100	{'001111000110': 105, '001111000101': 105, '001111000111': 95, '001111000100': 95}	PASS
00001111010	{'000001111010': 93, '000001111000': 109, '000001111001': 107, '000001111011': 91}	PASS
10100011100	{'010100011101': 84, '010100011100': 96, '010100011110': 112, '010100011111': 108}	PASS
11010100011	{'011010100100': 111, '011010100011': 95, '011010100010': 101, '011010100001': 93}	PASS
