inputs	outputs	result
00110010101	{'000110010101': 103, '000110010110': 95, '000110010111': 97, '000110011000': 105}	PASS
11001101110	{'011001101101': 31, '011001101100': 28, '011001101110': 176, '011001101111': 165}	wodf
01101001101	{'001101010000': 115, '001101001111': 89, '001101001101': 101, '001101001110': 95}	PASS
10010111100	{'010010111111': 27, '010010111101': 168, '010010111110': 37, '010010111100': 168}	wodf
00000100111	{'000000100110': 29, '000000100111': 175, '000000101000': 168, '000000100101': 28}	wodf
10101010110	{'010101010100': 97, '010101010111': 116, '010101010110': 89, '010101010101': 98}	PASS
11110111011	{'011110111001': 91, '011110111010': 115, '011110111011': 88, '011110111100': 106}	PASS
01011000100	{'001011000110': 103, '001011000101': 107, '001011000111': 97, '001011000100': 93}	PASS
11100100000	{'011100100011': 107, '011100100000': 102, '011100100010': 91, '011100100001': 100}	PASS
10111000011	{'010111000010': 95, '010111000011': 97, '010111000001': 98, '010111000100': 110}	PASS
00000011010	{'000000011010': 115, '000000011011': 89, '000000011001': 104, '000000011000': 92}	PASS
00011101001	{'000011101010': 90, '000011101011': 96, '000011101100': 116, '000011101001': 98}	PASS
01011110010	{'001011110010': 103, '001011110000': 102, '001011110001': 95, '001011110011': 100}	PASS
00111111110	{'000111111101': 29, '000111111100': 22, '000111111110': 165, '000111111111': 184}	wodf
11001010001	{'011001010010': 110, '011001010011': 86, '011001010100': 120, '011001010001': 84}	PASS
11010001110	{'011010001110': 98, '011010001111': 96, '011010001101': 92, '011010001100': 114}	PASS
00100001000	{'000100001001': 104, '000100001010': 84, '000100001011': 110, '000100001000': 102}	PASS
01000110111	{'001000110110': 26, '001000110111': 159, '001000110101': 27, '001000111000': 188}	wodf
11100000111	{'011100001000': 94, '011100000111': 91, '011100000101': 116, '011100000110': 99}	PASS
