inputs	outputs	result
101111	{'110100': 89, '101100': 101, '111000': 105, '110000': 105}	PASS
011100	{'011101': 107, '100001': 86, '100101': 96, '011001': 111}	PASS
000010	{'001011': 103, '000111': 100, '000011': 102, '001111': 95}	PASS
110001	{'110110': 109, '111010': 97, '111110': 107, '110010': 87}	PASS
011011	{'011100': 91, '100000': 89, '100100': 117, '101000': 103}	PASS
100100	{'101001': 107, '100001': 103, '100101': 88, '101101': 102}	PASS
110110	{'111111': 105, '110011': 102, '111011': 97, '110111': 96}	PASS
001001	{'001010': 100, '010010': 106, '001110': 89, '010110': 105}	PASS
000101	{'001010': 118, '001110': 108, '000010': 87, '000110': 87}	PASS
010010	{'011111': 100, '011011': 103, '010111': 105, '010011': 92}	PASS
101010	{'110111': 101, '110011': 100, '101111': 94, '101011': 105}	PASS
010111	{'011000': 89, '100000': 107, '010100': 105, '011100': 99}	PASS
111000	{'111001': 83, '000101': 105, '000001': 111, '111101': 101}	PASS
