inputs	outputs	result
000010	{'000011': 100, '001111': 114, '000111': 107, '001011': 79}	PASS
001101	{'010010': 115, '001110': 87, '010110': 101, '001010': 97}	PASS
101000	{'110101': 95, '101101': 112, '101001': 90, '110001': 103}	PASS
111011	{'101000': 89, '011100': 105, '100000': 93, '100100': 113}	uof
110000	{'111001': 101, '110101': 105, '110001': 103, '111101': 91}	PASS
011000	{'011001': 102, '011101': 85, '100001': 109, '100101': 104}	PASS
110010	{'110111': 97, '111011': 101, '110011': 97, '111111': 105}	PASS
100110	{'100111': 106, '101111': 84, '101011': 99, '100011': 111}	PASS
010101	{'011010': 112, '010110': 101, '011110': 84, '010010': 103}	PASS
110111	{'111000': 92, '111100': 101, '110100': 85, '000000': 122}	PASS
111101	{'000010': 121, '000110': 89, '111110': 108, '111010': 82}	PASS
001010	{'110011': 104, '110111': 104, '101111': 99, '101011': 93}	uof
011110	{'000111': 105, '111011': 87, '000011': 99, '111111': 109}	uof
100001	{'100110': 109, '100010': 98, '101110': 88, '101010': 105}	PASS
010011	{'011000': 103, '100000': 99, '011100': 104, '010100': 94}	PASS
101011	{'010100': 108, '010000': 111, '001100': 87, '011000': 94}	uof
000001	{'001010': 93, '000110': 100, '000010': 90, '001110': 117}	PASS
001111	{'110000': 108, '110100': 107, '111000': 98, '101100': 87}	uof
000110	{'001111': 106, '000011': 97, '001011': 94, '000111': 103}	PASS
100101	{'101110': 81, '100110': 104, '101010': 108, '100010': 107}	PASS
011001	{'011010': 93, '100110': 101, '100010': 99, '011110': 107}	PASS
101100	{'110001': 105, '101001': 96, '110101': 99, '101101': 100}	PASS
010100	{'010001': 100, '010101': 88, '011101': 115, '011001': 97}	PASS
000100	{'000001': 96, '001001': 102, '001101': 106, '000101': 96}	PASS
111110	{'011111': 104, '100011': 97, '011011': 95, '100111': 104}	uof
000011	{'001000': 110, '010000': 112, '000100': 89, '001100': 89}	PASS
