inputs	outputs	result
01011011101	{'001011011111': 112, '001011100000': 95, '001011011110': 102, '001011011101': 91}	PASS
10110100010	{'010110100010': 94, '010110100000': 93, '010110100011': 103, '010110100001': 110}	PASS
01100110100	{'001100110101': 91, '001100110111': 107, '001100110100': 105, '001100110110': 97}	PASS
10001001001	{'010001001001': 92, '010001001011': 112, '010001001010': 98, '010001001100': 98}	PASS
00000010111	{'000000010101': 100, '000000010111': 111, '000000011000': 90, '000000010110': 99}	PASS
11001111010	{'011001111000': 113, '011001111010': 101, '011001111011': 91, '011001111001': 95}	PASS
01100101101	{'001100101110': 106, '001100110000': 98, '001100101101': 100, '001100101111': 96}	PASS
11111000110	{'011111000100': 99, '011111000101': 94, '011111000110': 97, '011111000111': 110}	PASS
01111101011	{'001111101100': 105, '001111101010': 96, '001111101011': 100, '001111101001': 99}	PASS
