inputs	outputs	result
10101111011	{'010101111100': 104, '010101111001': 99, '010101111011': 106, '010101111010': 91}	PASS
01010000000	{'001010000000': 117, '001010000001': 106, '001010000010': 89, '001010000011': 88}	PASS
10011001101	{'010011001101': 95, '010011001110': 104, '010011001111': 83, '010011010000': 118}	PASS
01001010111	{'001001010110': 103, '001001010111': 95, '001001011000': 101, '001001010101': 101}	PASS
11110101110	{'011110101100': 23, '011110101101': 35, '011110101110': 153, '011110101111': 189}	wodf
00100011010	{'000100011011': 96, '000100011000': 105, '000100011001': 95, '000100011010': 104}	PASS
00100100001	{'000100100010': 96, '000100100011': 100, '000100100100': 114, '000100100001': 90}	PASS
11011110011	{'011011110010': 101, '011011110001': 112, '011011110100': 92, '011011110011': 95}	PASS
11110011001	{'011110011100': 99, '011110011011': 115, '011110011001': 86, '011110011010': 100}	PASS
10001100100	{'010001100100': 88, '010001100111': 98, '010001100110': 111, '010001100101': 103}	PASS
11101000010	{'011101000000': 89, '011101000001': 106, '011101000010': 112, '011101000011': 93}	PASS
00011111000	{'000011111010': 91, '000011111001': 101, '000011111000': 97, '000011111011': 111}	PASS
00110110111	{'000110110110': 35, '000110110101': 33, '000110110111': 151, '000110111000': 181}	wodf
01000001100	{'001000001101': 100, '001000001110': 103, '001000001111': 113, '001000001100': 84}	PASS
01101110100	{'001101110110': 87, '001101110100': 106, '001101110101': 95, '001101110111': 112}	PASS
10000101011	{'010000101001': 108, '010000101100': 92, '010000101010': 102, '010000101011': 98}	PASS
11111011110	{'011111011101': 98, '011111011100': 94, '011111011110': 87, '011111011111': 121}	PASS
10000010110	{'010000010101': 102, '010000010110': 105, '010000010111': 88, '010000010100': 105}	PASS
01001101011	{'001001101010': 105, '001001101011': 91, '001001101100': 93, '001001101001': 111}	PASS
