inputs	outputs	result
100110	{'100111': 94, '100011': 106, '101011': 101, '101111': 99}	PASS
001001	{'001010': 90, '010010': 112, '001110': 96, '010110': 102}	PASS
110011	{'000000': 93, '111100': 111, '110100': 82, '111000': 114}	PASS
111000	{'111001': 107, '000101': 95, '111101': 92, '000001': 106}	PASS
010101	{'010010': 92, '011010': 107, '011110': 102, '010110': 99}	PASS
001110	{'001011': 116, '001111': 92, '010111': 90, '010011': 102}	PASS
110001	{'111010': 90, '110010': 107, '111110': 80, '110110': 123}	PASS
001101	{'110110': 121, '101010': 95, '101110': 92, '110010': 92}	uof
