inputs	outputs	result
1010011	{'1010011': 100}	PASS
0000101	{'0000101': 100}	PASS
1111100	{'1111100': 100}	PASS
0101111	{'1101111': 100}	uof
0011101	{'0011101': 100}	PASS
1001000	{'1001000': 100}	PASS
0010000	{'0010000': 100}	PASS
0001001	{'0001001': 100}	PASS
0011011	{'1011011': 100}	uof
1110101	{'1110101': 100}	PASS
0100000	{'0100000': 100}	PASS
0101100	{'0101100': 100}	PASS
1111001	{'1111001': 100}	PASS
0110001	{'0110001': 100}	PASS
0111010	{'1111010': 100}	uof
1100000	{'1100000': 100}	PASS
1000111	{'1000111': 100}	PASS
0010110	{'0010110': 100}	PASS
0100011	{'0100011': 100}	PASS
1001101	{'1001101': 100}	PASS
0001010	{'1001010': 100}	uof
1011110	{'0011110': 100}	uof
1101011	{'0101011': 100}	uof
1110111	{'1110111': 100}	PASS
0110110	{'0110110': 100}	PASS
1100101	{'1100101': 100}	PASS
1000110	{'1000110': 100}	PASS
1110010	{'1110010': 100}	PASS
1010100	{'1010100': 100}	PASS
1000000	{'1000000': 100}	PASS
1101110	{'0101110': 100}	uof
