inputs	outputs	result
110001011	{'1101': 155, '0110': 45}	PASS
101111100	{'1100': 57, '1111': 143}	PASS
010000100	{'0101': 47, '0011': 153}	PASS
001010111	{'0011': 153, '1100': 47}	PASS
000100010	{'1010': 24, '0010': 76}	uof
010111101	{'1111': 59, '0110': 141}	PASS
111100101	{'0011': 60, '0000': 140}	PASS
101001110	{'1000': 142, '1011': 58}	PASS
100010001	{'1001': 100}	PASS
111110010	{'1000': 49, '1010': 151}	uof
011011000	{'0111': 54, '1101': 146}	PASS
100111110	{'0000': 143, '0010': 57}	uof
001101001	{'0101': 53, '0100': 147}	PASS
011111111	{'0000': 200}	wodf
