inputs	outputs	result
0001111	{'0001111': 100}	PASS
1100110	{'1100110': 100}	PASS
1111101	{'1111101': 100}	PASS
1001100	{'1001100': 100}	PASS
1000001	{'1000001': 100}	PASS
0100011	{'0100011': 100}	PASS
0000100	{'0000100': 100}	PASS
0101000	{'0101000': 100}	PASS
0111110	{'0110110': 100}	uof
1011111	{'1011111': 100}	PASS
0010110	{'0010110': 100}	PASS
1110000	{'1110000': 100}	PASS
0111001	{'0111001': 100}	PASS
1001010	{'1001010': 100}	PASS
0100101	{'0100101': 100}	PASS
0110100	{'0110100': 100}	PASS
0010000	{'0010000': 100}	PASS
1110011	{'1110011': 100}	PASS
1010101	{'1010101': 100}	PASS
1111010	{'1111010': 100}	PASS
1101011	{'1101011': 100}	PASS
0010111	{'0010111': 100}	PASS
0011010	{'0011010': 100}	PASS
1010010	{'1010010': 100}	PASS
1001001	{'1001001': 100}	PASS
0000011	{'0000011': 100}	PASS
1101111	{'1101111': 100}	PASS
0100010	{'0100010': 100}	PASS
0011001	{'0011001': 100}	PASS
1111100	{'1111100': 100}	PASS
1100001	{'1100001': 100}	PASS
0001100	{'0001100': 100}	PASS
