inputs	outputs	result
111111101	{'1111': 53, '0000': 147}	PASS
010000010	{'0101': 49, '0010': 151}	PASS
001111010	{'0100': 46, '1110': 154}	PASS
101000001	{'0001': 46, '1011': 154}	PASS
100010111	{'1100': 51, '1001': 149}	PASS
010101001	{'0110': 135, '0101': 65}	PASS
100011000	{'1001': 55, '1101': 145}	PASS
011100100	{'1000': 54, '0011': 146}	PASS
100101111	{'1000': 48, '1010': 152}	PASS
111001110	{'0111': 45, '1000': 155}	uof
001110100	{'0100': 54, '1011': 146}	PASS
110110011	{'1110': 153, '1010': 47}	PASS
000001100	{'0001': 46, '0111': 154}	PASS
011010011	{'1010': 51, '1111': 149}	uof
110010100	{'1101': 61, '1011': 139}	PASS
000011111	{'0001': 152, '0000': 48}	PASS
100100110	{'1010': 30, '0100': 170}	wodf
