inputs	outputs	result
001101101	{'0111': 45, '0100': 155}	PASS
110000111	{'1101': 151, '0100': 49}	PASS
011110011	{'1010': 49, '0000': 151}	uof
010011000	{'0101': 61, '1101': 139}	PASS
101001010	{'0110': 154, '1011': 46}	PASS
110110110	{'1110': 54, '1100': 146}	PASS
111010101	{'1011': 50, '1111': 150}	PASS
111110000	{'0000': 41, '1001': 159}	PASS
001011111	{'0000': 49, '0011': 151}	PASS
100100100	{'1010': 52, '0011': 148}	PASS
011000010	{'1111': 54, '0010': 146}	uof
100111001	{'1101': 41, '1010': 159}	PASS
111001100	{'1111': 45, '0111': 155}	PASS
110100001	{'1110': 142, '0001': 58}	PASS
010101110	{'0110': 46, '1000': 154}	PASS
110011011	{'1101': 152, '1110': 48}	PASS
010000101	{'0011': 52, '0101': 148}	PASS
100010111	{'1100': 44, '1001': 156}	PASS
001111010	{'0100': 44, '1110': 156}	PASS
011001001	{'0101': 46, '0111': 154}	PASS
101101111	{'1000': 53, '1100': 147}	PASS
000001101	{'0111': 62, '0001': 138}	PASS
001100110	{'0100': 100}	PASS
100101010	{'1010': 39, '0110': 161}	PASS
001000001	{'0011': 141, '0001': 59}	PASS
101010010	{'1011': 44, '1010': 156}	PASS
000110101	{'0010': 147, '1011': 53}	PASS
011111100	{'1000': 56, '1111': 144}	PASS
111101011	{'0110': 53, '1000': 147}	uof
100000000	{'1001': 40, '0001': 160}	PASS
100011100	{'1111': 155, '1001': 45}	PASS
000100011	{'0010': 100}	PASS
101000100	{'1011': 57, '0011': 143}	PASS
011010110	{'1111': 41, '1100': 159}	uof
111111111	{'0000': 28, '1000': 72}	uof
000100000	{'0010': 60, '0001': 140}	PASS
000010010	{'0001': 53, '1010': 147}	PASS
101010001	{'1001': 54, '1011': 146}	PASS
