inputs	outputs	result
000101100	{'0010': 57, '0111': 143}	PASS
010010011	{'1010': 57, '0101': 143}	PASS
001001001	{'0101': 60, '0011': 140}	PASS
011100000	{'1000': 44, '0001': 156}	PASS
110100101	{'0011': 39, '1110': 161}	PASS
110011110	{'0000': 145, '1101': 55}	PASS
101000110	{'1011': 51, '0100': 149}	PASS
011001111	{'1000': 51, '0111': 149}	PASS
001010100	{'0011': 44, '1011': 156}	PASS
100001010	{'1001': 39, '0110': 161}	PASS
101110010	{'1100': 49, '1010': 151}	PASS
101111111	{'0000': 60, '1100': 140}	PASS
100111001	{'1010': 151, '1101': 49}	PASS
111000011	{'0010': 47, '1111': 153}	PASS
110010000	{'1101': 53, '1001': 147}	PASS
111010101	{'1011': 48, '1111': 152}	PASS
010110110	{'0110': 47, '1100': 153}	PASS
111001100	{'1111': 64, '0111': 136}	PASS
000100111	{'0100': 53, '0010': 147}	PASS
000011101	{'1111': 44, '0001': 156}	PASS
011110101	{'1011': 44, '1000': 156}	PASS
001011010	{'0011': 46, '1110': 154}	PASS
001100011	{'0010': 59, '0100': 141}	PASS
111101110	{'1000': 200}	wodf
100010101	{'1011': 54, '1001': 146}	PASS
011111001	{'1101': 42, '1000': 158}	PASS
010101011	{'0110': 24, '1110': 76}	uof
111111010	{'1000': 57, '1110': 143}	uof
000110000	{'0010': 48, '1001': 152}	PASS
010001000	{'0101': 100}	PASS
101100000	{'1100': 54, '0001': 146}	PASS
100010011	{'1001': 147, '1010': 53}	PASS
110100010	{'1110': 41, '0010': 159}	PASS
000000001	{'0001': 100}	PASS
100001111	{'1001': 144, '1000': 56}	PASS
001000110	{'0011': 55, '0100': 145}	PASS
111001001	{'0101': 52, '1111': 148}	PASS
100011100	{'1001': 47, '1111': 153}	PASS
