inputs	outputs	result
110011010	{'1101': 48, '1110': 152}	PASS
001101100	{'0100': 49, '0111': 151}	PASS
101000001	{'0001': 53, '1011': 147}	PASS
000110011	{'1010': 47, '0010': 153}	PASS
011001111	{'0111': 148, '1000': 52}	PASS
110100000	{'1110': 47, '0001': 153}	PASS
110111101	{'1111': 43, '1110': 157}	PASS
000000110	{'0001': 44, '0100': 156}	PASS
101011111	{'0000': 54, '1011': 146}	PASS
011010100	{'0111': 54, '1011': 146}	PASS
010001001	{'0101': 100}	PASS
111110110	{'0000': 42, '1100': 158}	PASS
001111000	{'0100': 37, '1101': 163}	PASS
100101010	{'0110': 144, '1010': 56}	PASS
011100011	{'0010': 53, '1000': 147}	PASS
100000101	{'0011': 50, '1001': 150}	PASS
